Testing download, to see how recv_wnd is affected.

[10511.211610] TCPLog: in_ack_event - cwnd=10, recv_wnd=1392, snd_wnd=45
[10511.211641] TCPLog: in_ack_event - cwnd=10, recv_wnd=1390, snd_wnd=45
[10511.212019] TCPLog: in_ack_event - cwnd=10, recv_wnd=1392, snd_wnd=45
[10511.215544] TCPLog: in_ack_event - cwnd=10, recv_wnd=1392, snd_wnd=45
[10511.215585] TCPLog: in_ack_event - cwnd=10, recv_wnd=1389, snd_wnd=45
[10511.215598] TCPLog: in_ack_event - cwnd=10, recv_wnd=1388, snd_wnd=45
[10511.215617] TCPLog: in_ack_event - cwnd=10, recv_wnd=1384, snd_wnd=45
[10511.216768] TCPLog: in_ack_event - cwnd=10, recv_wnd=1392, snd_wnd=45
[10511.216835] TCPLog: in_ack_event - cwnd=10, recv_wnd=1388, snd_wnd=45
[10511.216850] TCPLog: in_ack_event - cwnd=10, recv_wnd=1384, snd_wnd=45
[10511.217574] TCPLog: in_ack_event - cwnd=10, recv_wnd=1392, snd_wnd=45
[10511.219629] TCPLog: in_ack_event - cwnd=10, recv_wnd=1392, snd_wnd=45
[10511.219673] TCPLog: in_ack_event - cwnd=10, recv_wnd=1388, snd_wnd=45
[10511.220599] TCPLog: in_ack_event - cwnd=10, recv_wnd=1392, snd_wnd=45
[10511.220631] TCPLog: in_ack_event - cwnd=10, recv_wnd=1391, snd_wnd=45
[10511.223934] TCPLog: in_ack_event - cwnd=10, recv_wnd=1392, snd_wnd=45
[10511.223979] TCPLog: in_ack_event - cwnd=10, recv_wnd=1388, snd_wnd=45
[10511.225221] TCPLog: in_ack_event - cwnd=10, recv_wnd=1392, snd_wnd=45
[10511.225274] TCPLog: in_ack_event - cwnd=10, recv_wnd=1389, snd_wnd=45
[10511.226088] TCPLog: in_ack_event - cwnd=10, recv_wnd=1392, snd_wnd=45
[10511.226135] TCPLog: in_ack_event - cwnd=10, recv_wnd=1391, snd_wnd=45
[10511.228664] TCPLog: in_ack_event - cwnd=10, recv_wnd=1392, snd_wnd=45
[10511.228708] TCPLog: in_ack_event - cwnd=10, recv_wnd=1389, snd_wnd=45
[10511.228722] TCPLog: in_ack_event - cwnd=10, recv_wnd=1385, snd_wnd=45
[10511.228753] TCPLog: in_ack_event - cwnd=10, recv_wnd=1381, snd_wnd=45
[10511.228768] TCPLog: in_ack_event - cwnd=10, recv_wnd=1377, snd_wnd=45
[10511.231152] TCPLog: in_ack_event - cwnd=10, recv_wnd=1392, snd_wnd=45
[10511.231198] TCPLog: in_ack_event - cwnd=10, recv_wnd=1390, snd_wnd=45
[10511.232079] TCPLog: in_ack_event - cwnd=10, recv_wnd=1392, snd_wnd=45
[10511.233211] TCPLog: in_ack_event - cwnd=10, recv_wnd=1392, snd_wnd=45
[10511.233264] TCPLog: in_ack_event - cwnd=10, recv_wnd=1391, snd_wnd=45
[10511.235813] TCPLog: in_ack_event - cwnd=10, recv_wnd=1392, snd_wnd=45
[10511.235855] TCPLog: in_ack_event - cwnd=10, recv_wnd=1389, snd_wnd=45
[10511.235869] TCPLog: in_ack_event - cwnd=10, recv_wnd=1385, snd_wnd=45
[10511.235893] TCPLog: in_ack_event - cwnd=10, recv_wnd=1381, snd_wnd=45
[10511.235906] TCPLog: in_ack_event - cwnd=10, recv_wnd=1380, snd_wnd=45
[10511.237039] TCPLog: in_ack_event - cwnd=10, recv_wnd=1392, snd_wnd=45
[10511.237895] TCPLog: in_ack_event - cwnd=10, recv_wnd=1392, snd_wnd=45
[10511.240686] TCPLog: in_ack_event - cwnd=10, recv_wnd=1392, snd_wnd=45
[10511.240731] TCPLog: in_ack_event - cwnd=10, recv_wnd=1388, snd_wnd=45
[10511.241802] TCPLog: in_ack_event - cwnd=10, recv_wnd=1392, snd_wnd=45
[10511.242045] TCPLog: in_ack_event - cwnd=10, recv_wnd=1392, snd_wnd=45
[10511.244017] TCPLog: in_ack_event - cwnd=10, recv_wnd=1392, snd_wnd=45
[10511.245028] TCPLog: in_ack_event - cwnd=10, recv_wnd=1392, snd_wnd=45
[10511.245510] TCPLog: in_ack_event - cwnd=10, recv_wnd=1392, snd_wnd=45
[10511.248203] TCPLog: in_ack_event - cwnd=10, recv_wnd=1392, snd_wnd=45
[10511.248249] TCPLog: in_ack_event - cwnd=10, recv_wnd=1391, snd_wnd=45
[10511.248281] TCPLog: in_ack_event - cwnd=10, recv_wnd=1389, snd_wnd=45
[10511.248295] TCPLog: in_ack_event - cwnd=10, recv_wnd=1387, snd_wnd=45
[10511.249184] TCPLog: in_ack_event - cwnd=10, recv_wnd=1392, snd_wnd=45
[10511.249216] TCPLog: in_ack_event - cwnd=10, recv_wnd=1390, snd_wnd=45
[10511.249229] TCPLog: in_ack_event - cwnd=10, recv_wnd=1386, snd_wnd=45
[10511.249254] TCPLog: in_ack_event - cwnd=10, recv_wnd=1385, snd_wnd=45
[10511.249284] TCPLog: in_ack_event - cwnd=10, recv_wnd=1381, snd_wnd=45
[10511.251689] TCPLog: in_ack_event - cwnd=10, recv_wnd=1392, snd_wnd=45
[10511.251734] TCPLog: in_ack_event - cwnd=10, recv_wnd=1391, snd_wnd=45
[10511.252874] TCPLog: in_ack_event - cwnd=10, recv_wnd=1392, snd_wnd=45
[10511.253081] TCPLog: in_ack_event - cwnd=10, recv_wnd=1392, snd_wnd=45
[10511.253112] TCPLog: in_ack_event - cwnd=10, recv_wnd=1391, snd_wnd=45
[10511.253841] TCPLog: in_ack_event - cwnd=10, recv_wnd=1392, snd_wnd=45
[10511.254576] TCPLog: in_ack_event - cwnd=10, recv_wnd=1392, snd_wnd=45
[10511.254620] TCPLog: in_ack_event - cwnd=10, recv_wnd=1391, snd_wnd=45
[10511.257102] TCPLog: in_ack_event - cwnd=10, recv_wnd=1392, snd_wnd=45
[10511.257146] TCPLog: in_ack_event - cwnd=10, recv_wnd=1390, snd_wnd=45
[10511.257160] TCPLog: in_ack_event - cwnd=10, recv_wnd=1386, snd_wnd=45
[10511.258281] TCPLog: in_ack_event - cwnd=10, recv_wnd=1392, snd_wnd=45
[10511.258313] TCPLog: in_ack_event - cwnd=10, recv_wnd=1390, snd_wnd=45
[10511.258336] TCPLog: in_ack_event - cwnd=10, recv_wnd=1386, snd_wnd=45
[10511.258384] TCPLog: in_ack_event - cwnd=10, recv_wnd=1385, snd_wnd=45
[10511.258407] TCPLog: in_ack_event - cwnd=10, recv_wnd=1382, snd_wnd=45
[10511.258421] TCPLog: in_ack_event - cwnd=10, recv_wnd=1378, snd_wnd=45
[10511.259286] TCPLog: in_ack_event - cwnd=10, recv_wnd=1392, snd_wnd=45
[10511.261353] TCPLog: in_ack_event - cwnd=10, recv_wnd=1391, snd_wnd=45
[10511.264387] TCPLog: in_ack_event - cwnd=10, recv_wnd=1392, snd_wnd=45
[10511.264419] TCPLog: in_ack_event - cwnd=10, recv_wnd=1388, snd_wnd=45
[10511.265525] TCPLog: in_ack_event - cwnd=10, recv_wnd=1392, snd_wnd=45
[10511.266926] TCPLog: in_ack_event - cwnd=10, recv_wnd=1392, snd_wnd=45
[10511.266968] TCPLog: in_ack_event - cwnd=10, recv_wnd=1389, snd_wnd=45
[10511.267860] TCPLog: in_ack_event - cwnd=10, recv_wnd=1392, snd_wnd=45
[10511.267917] TCPLog: in_ack_event - cwnd=10, recv_wnd=1391, snd_wnd=45
[10511.267944] TCPLog: in_ack_event - cwnd=10, recv_wnd=1390, snd_wnd=45
[10511.267959] TCPLog: in_ack_event - cwnd=10, recv_wnd=1386, snd_wnd=45
[10511.267988] TCPLog: in_ack_event - cwnd=10, recv_wnd=1384, snd_wnd=45
[10511.268009] TCPLog: in_ack_event - cwnd=10, recv_wnd=1382, snd_wnd=45
[10511.268876] TCPLog: in_ack_event - cwnd=10, recv_wnd=1392, snd_wnd=45
[10511.268906] TCPLog: in_ack_event - cwnd=10, recv_wnd=1390, snd_wnd=45
[10511.270169] TCPLog: in_ack_event - cwnd=10, recv_wnd=1392, snd_wnd=45
[10511.270202] TCPLog: in_ack_event - cwnd=10, recv_wnd=1390, snd_wnd=45
[10511.273866] TCPLog: in_ack_event - cwnd=10, recv_wnd=1392, snd_wnd=45
[10511.273900] TCPLog: in_ack_event - cwnd=10, recv_wnd=1388, snd_wnd=45
[10511.274884] TCPLog: in_ack_event - cwnd=10, recv_wnd=1392, snd_wnd=45
[10511.274928] TCPLog: in_ack_event - cwnd=10, recv_wnd=1389, snd_wnd=45
[10511.275632] TCPLog: in_ack_event - cwnd=10, recv_wnd=1392, snd_wnd=45
[10511.276164] TCPLog: in_ack_event - cwnd=10, recv_wnd=1392, snd_wnd=45
[10511.276747] TCPLog: in_ack_event - cwnd=10, recv_wnd=1392, snd_wnd=45
[10511.276781] TCPLog: in_ack_event - cwnd=10, recv_wnd=1388, snd_wnd=45
[10511.277548] TCPLog: in_ack_event - cwnd=10, recv_wnd=1392, snd_wnd=45
[10511.280283] TCPLog: in_ack_event - cwnd=10, recv_wnd=1392, snd_wnd=45
[10511.280315] TCPLog: in_ack_event - cwnd=10, recv_wnd=1388, snd_wnd=45
[10511.281197] TCPLog: in_ack_event - cwnd=10, recv_wnd=1392, snd_wnd=45
[10511.281227] TCPLog: in_ack_event - cwnd=10, recv_wnd=1391, snd_wnd=45
[10511.281627] TCPLog: in_ack_event - cwnd=10, recv_wnd=1392, snd_wnd=45
[10511.282261] TCPLog: in_ack_event - cwnd=10, recv_wnd=1392, snd_wnd=45
[10511.283450] TCPLog: in_ack_event - cwnd=10, recv_wnd=1392, snd_wnd=45
[10511.283483] TCPLog: in_ack_event - cwnd=10, recv_wnd=1391, snd_wnd=45
[10511.283502] TCPLog: in_ack_event - cwnd=10, recv_wnd=1390, snd_wnd=45
[10511.284140] TCPLog: in_ack_event - cwnd=10, recv_wnd=1392, snd_wnd=45
[10511.286752] TCPLog: in_ack_event - cwnd=10, recv_wnd=1392, snd_wnd=45
[10511.286782] TCPLog: in_ack_event - cwnd=10, recv_wnd=1391, snd_wnd=45
[10511.286806] TCPLog: in_ack_event - cwnd=10, recv_wnd=1387, snd_wnd=45
[10511.286819] TCPLog: in_ack_event - cwnd=10, recv_wnd=1383, snd_wnd=45
[10511.289788] TCPLog: in_ack_event - cwnd=10, recv_wnd=1392, snd_wnd=45
[10511.289844] TCPLog: in_ack_event - cwnd=10, recv_wnd=1391, snd_wnd=45
[10511.289858] TCPLog: in_ack_event - cwnd=10, recv_wnd=1387, snd_wnd=45
[10511.290829] TCPLog: in_ack_event - cwnd=10, recv_wnd=1392, snd_wnd=45
[10511.290873] TCPLog: in_ack_event - cwnd=10, recv_wnd=1390, snd_wnd=45
[10511.291201] TCPLog: in_ack_event - cwnd=10, recv_wnd=1392, snd_wnd=45
[10511.293840] TCPLog: in_ack_event - cwnd=10, recv_wnd=1392, snd_wnd=45
[10511.293868] TCPLog: in_ack_event - cwnd=10, recv_wnd=1391, snd_wnd=45
[10511.293899] TCPLog: in_ack_event - cwnd=10, recv_wnd=1389, snd_wnd=45
[10511.293913] TCPLog: in_ack_event - cwnd=10, recv_wnd=1387, snd_wnd=45
[10511.293927] TCPLog: in_ack_event - cwnd=10, recv_wnd=1382, snd_wnd=45
[10511.293954] TCPLog: in_ack_event - cwnd=10, recv_wnd=1378, snd_wnd=45
[10511.296301] TCPLog: in_ack_event - cwnd=10, recv_wnd=1392, snd_wnd=45
[10511.296332] TCPLog: in_ack_event - cwnd=10, recv_wnd=1391, snd_wnd=45
[10511.297249] TCPLog: in_ack_event - cwnd=10, recv_wnd=1392, snd_wnd=45
[10511.297724] TCPLog: in_ack_event - cwnd=10, recv_wnd=1392, snd_wnd=45
[10511.297767] TCPLog: in_ack_event - cwnd=10, recv_wnd=1391, snd_wnd=45
[10511.300529] TCPLog: in_ack_event - cwnd=10, recv_wnd=1392, snd_wnd=45
[10511.300574] TCPLog: in_ack_event - cwnd=10, recv_wnd=1390, snd_wnd=45
[10511.300588] TCPLog: in_ack_event - cwnd=10, recv_wnd=1386, snd_wnd=45
[10511.300605] TCPLog: in_ack_event - cwnd=10, recv_wnd=1382, snd_wnd=45
[10511.302892] TCPLog: in_ack_event - cwnd=10, recv_wnd=1392, snd_wnd=45
